Time_slot:60-80, pid:124, arrival-time:60, remaining_time:528
Time_slot:80-100, pid:776, arrival-time:60, remaining_time:1420
Time_slot:100-120, pid:124, arrival-time:60, remaining_time:508
Time_slot:120-140, pid:776, arrival-time:60, remaining_time:1400
Time_slot:140-180, pid:124, arrival-time:60, remaining_time:468
Time_slot:180-220, pid:776, arrival-time:60, remaining_time:1360
Time_slot:220-260, pid:124, arrival-time:60, remaining_time:428
Time_slot:260-300, pid:776, arrival-time:60, remaining_time:1320
Time_slot:300-360, pid:124, arrival-time:60, remaining_time:368
Time_slot:360-420, pid:776, arrival-time:60, remaining_time:1260
Time_slot:420-480, pid:124, arrival-time:60, remaining_time:308
Time_slot:480-500, pid:776, arrival-time:60, remaining_time:1240
Time_slot:500-520, pid:124, arrival-time:60, remaining_time:288
Time_slot:520-540, pid:776, arrival-time:60, remaining_time:1220
Time_slot:540-560, pid:124, arrival-time:60, remaining_time:268
Time_slot:560-580, pid:776, arrival-time:60, remaining_time:1200
Time_slot:580-620, pid:124, arrival-time:60, remaining_time:228
Time_slot:620-660, pid:776, arrival-time:60, remaining_time:1160
Time_slot:660-700, pid:124, arrival-time:60, remaining_time:188
Time_slot:700-740, pid:776, arrival-time:60, remaining_time:1120
Time_slot:740-800, pid:124, arrival-time:60, remaining_time:128
Time_slot:800-820, pid:1058, arrival-time:800, remaining_time:528
Time_slot:820-840, pid:1058, arrival-time:800, remaining_time:508
Time_slot:840-880, pid:1058, arrival-time:800, remaining_time:468
Time_slot:880-920, pid:1058, arrival-time:800, remaining_time:428
Time_slot:920-980, pid:776, arrival-time:60, remaining_time:1060
Time_slot:980-1000, pid:124, arrival-time:60, remaining_time:108
Time_slot:1000-1020, pid:124, arrival-time:60, remaining_time:88
Time_slot:1020-1040, pid:776, arrival-time:60, remaining_time:1040
Time_slot:1040-1060, pid:1058, arrival-time:800, remaining_time:408
Time_slot:1060-1080, pid:124, arrival-time:60, remaining_time:68
Time_slot:1080-1100, pid:776, arrival-time:60, remaining_time:1020
Time_slot:1100-1120, pid:1058, arrival-time:800, remaining_time:388
Time_slot:1120-1160, pid:124, arrival-time:60, remaining_time:28
Time_slot:1160-1200, pid:776, arrival-time:60, remaining_time:980
Time_slot:1200-1240, pid:1058, arrival-time:800, remaining_time:348
Time_slot:1240-1268, pid:124, arrival-time:60, remaining_time:0
Time_slot:1268-1308, pid:776, arrival-time:60, remaining_time:940
Time_slot:1308-1348, pid:1058, arrival-time:800, remaining_time:308
Time_slot:1348-1408, pid:776, arrival-time:60, remaining_time:880
Time_slot:1408-1468, pid:1058, arrival-time:800, remaining_time:248
Time_slot:1468-1500, pid:776, arrival-time:60, remaining_time:848
Time_slot:1500-1520, pid:776, arrival-time:60, remaining_time:828
Time_slot:1520-1540, pid:1058, arrival-time:800, remaining_time:228
Time_slot:1540-1560, pid:776, arrival-time:60, remaining_time:808
Time_slot:1560-1580, pid:1058, arrival-time:800, remaining_time:208
Time_slot:1580-1620, pid:776, arrival-time:60, remaining_time:768
Time_slot:1620-1660, pid:1058, arrival-time:800, remaining_time:168
Time_slot:1660-1700, pid:776, arrival-time:60, remaining_time:728
Time_slot:1700-1740, pid:1058, arrival-time:800, remaining_time:128
Time_slot:1740-1800, pid:776, arrival-time:60, remaining_time:668
Time_slot:1800-1860, pid:1058, arrival-time:800, remaining_time:68
Time_slot:1860-1920, pid:776, arrival-time:60, remaining_time:608
Time_slot:1920-1980, pid:1058, arrival-time:800, remaining_time:8
Time_slot:1980-2000, pid:776, arrival-time:60, remaining_time:588
Time_slot:2000-2020, pid:776, arrival-time:60, remaining_time:568
Time_slot:2020-2028, pid:1058, arrival-time:800, remaining_time:0
Time_slot:2028-2048, pid:776, arrival-time:60, remaining_time:548
Time_slot:2048-2088, pid:776, arrival-time:60, remaining_time:508
Time_slot:2088-2128, pid:776, arrival-time:60, remaining_time:468
Time_slot:2128-2188, pid:776, arrival-time:60, remaining_time:408
Time_slot:2188-2248, pid:776, arrival-time:60, remaining_time:348
Time_slot:2248-2308, pid:776, arrival-time:60, remaining_time:288
Time_slot:2308-2368, pid:776, arrival-time:60, remaining_time:228
Time_slot:2368-2428, pid:776, arrival-time:60, remaining_time:168
Time_slot:2428-2488, pid:776, arrival-time:60, remaining_time:108
Time_slot:2488-2500, pid:776, arrival-time:60, remaining_time:96
Time_slot:2500-2520, pid:776, arrival-time:60, remaining_time:76
Time_slot:2520-2540, pid:776, arrival-time:60, remaining_time:56
Time_slot:2540-2580, pid:776, arrival-time:60, remaining_time:16
Time_slot:2580-2596, pid:776, arrival-time:60, remaining_time:0
