Time_slot:20-60, pid:5, arrival-time:20, remaining_time:360
Time_slot:60-100, pid:12, arrival-time:20, remaining_time:260
Time_slot:100-140, pid:5, arrival-time:20, remaining_time:320
Time_slot:140-180, pid:15, arrival-time:60, remaining_time:260
Time_slot:180-220, pid:12, arrival-time:20, remaining_time:220
Time_slot:220-260, pid:15, arrival-time:60, remaining_time:220
Time_slot:260-340, pid:5, arrival-time:20, remaining_time:240
Time_slot:340-420, pid:12, arrival-time:20, remaining_time:140
Time_slot:420-500, pid:15, arrival-time:60, remaining_time:140
Time_slot:500-540, pid:5, arrival-time:20, remaining_time:200
Time_slot:540-580, pid:12, arrival-time:20, remaining_time:100
Time_slot:580-620, pid:15, arrival-time:60, remaining_time:100
Time_slot:620-660, pid:5, arrival-time:20, remaining_time:160
Time_slot:660-700, pid:12, arrival-time:20, remaining_time:60
Time_slot:700-740, pid:15, arrival-time:60, remaining_time:60
Time_slot:740-820, pid:5, arrival-time:20, remaining_time:80
Time_slot:820-880, pid:12, arrival-time:20, remaining_time:0
Time_slot:880-940, pid:15, arrival-time:60, remaining_time:0
Time_slot:940-1000, pid:5, arrival-time:20, remaining_time:20
Time_slot:1000-1020, pid:5, arrival-time:20, remaining_time:0
